30,33
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
3,22,13,13,13,13,13,13,13,13,13,13,13,13,23,22,13,13,13,13,13,13,13,13,13,13,13,13,23,4
3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4
3,4,0,9,1,1,12,0,9,1,1,1,12,0,3,4,0,9,1,1,1,12,0,9,1,1,12,0,3,4
3,4,0,3,0,0,4,0,3,0,0,0,4,0,3,4,0,3,0,0,0,4,0,3,0,0,4,0,3,4
3,4,0,17,13,13,20,0,17,13,13,13,20,0,17,20,0,17,13,13,13,20,0,17,13,13,20,0,3,4
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
3,4,0,9,1,1,12,0,9,12,0,9,1,1,1,1,1,1,12,0,9,12,0,9,1,1,12,0,3,4
3,4,0,17,13,13,20,0,3,4,0,17,13,13,23,22,13,13,20,0,3,4,0,17,13,13,20,0,3,4
3,4,0,0,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,0,0,3,4
3,6,1,1,1,1,12,0,3,6,1,1,12,0,3,4,0,9,1,1,7,4,0,9,1,1,1,1,7,4
17,13,13,13,13,23,4,0,3,22,13,13,20,0,17,20,0,17,13,13,23,4,0,3,22,13,13,13,13,20
0,0,0,0,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,0,0,0,0,0
9,1,1,1,1,7,4,0,3,4,0,9,1,1,2,15,1,1,12,0,3,4,0,3,6,1,1,1,1,12
17,13,13,13,13,13,20,0,17,20,0,3,22,13,14,16,13,23,4,0,17,20,0,17,13,13,13,13,13,20
0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
9,1,1,1,1,1,12,0,9,12,0,3,6,1,1,1,1,7,4,0,9,12,0,9,1,1,1,1,1,12
17,13,13,13,13,23,4,0,3,4,0,17,13,13,13,13,13,13,20,0,3,4,0,3,22,13,13,13,13,20
0,0,0,0,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,0,0,0,0,0
9,1,1,1,1,7,4,0,3,4,0,9,1,1,1,1,1,1,12,0,3,4,0,3,6,1,1,1,1,12
3,22,13,13,13,13,20,0,17,20,0,17,13,13,23,22,13,13,20,0,17,20,0,17,13,13,13,13,23,4
3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4
3,4,0,9,1,1,12,0,9,1,1,1,12,0,3,4,0,9,1,1,1,12,0,9,1,1,12,0,3,4
3,4,0,17,13,23,4,0,17,13,13,13,20,0,17,20,0,17,13,13,13,20,0,3,22,13,20,0,3,4
3,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,4
3,6,1,12,0,3,4,0,9,12,0,9,1,1,1,1,1,1,12,0,9,12,0,3,4,0,9,1,7,4
3,22,13,20,0,17,20,0,3,4,0,17,13,13,23,22,13,13,20,0,3,4,0,17,20,0,17,13,23,4
3,4,0,0,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,0,0,3,4
3,4,0,9,1,1,1,1,7,6,1,1,12,0,3,4,0,9,1,1,7,6,1,1,1,1,12,0,3,4
3,4,0,17,13,13,13,13,13,13,13,13,20,0,17,20,0,17,13,13,13,13,13,13,13,13,20,0,3,4
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4
17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20
